id,Cluster
1502,328.0
1503,328.0
1507,328.0
1767,328.0
1951,328.0
1955,328.0
1991,328.0
118,329.0
139,329.0
216,329.0
333,329.0
338,329.0
350,329.0
368,329.0
414,329.0
563,329.0
579,329.0
594,329.0
598,329.0
933,329.0
1206,329.0
1211,329.0
1230,329.0
1255,329.0
1307,329.0
1326,329.0
1442,329.0
1443,329.0
1509,329.0
1513,329.0
1665,329.0
1718,329.0
1935,329.0
1997,329.0
119,330.0
3318,330.0
381,331.0
525,331.0
3372,331.0
3373,331.0
1078,332.0
1418,332.0
1438,332.0
3421,332.0
3422,332.0
3423,332.0
1457,333.0
1941,333.0
3374,333.0
3375,333.0
1474,334.0
3505,334.0
1492,335.0
3284,335.0
11,253.0
45,253.0
363,253.0
461,253.0
508,253.0
681,253.0
694,253.0
736,253.0
741,253.0
821,253.0
1189,253.0
1218,253.0
1227,253.0
1450,253.0
1465,253.0
1551,253.0
1627,253.0
1639,253.0
1678,253.0
1793,253.0
1884,253.0
128,336.0
172,336.0
182,336.0
190,336.0
225,336.0
413,336.0
606,336.0
641,336.0
714,336.0
720,336.0
1018,336.0
1054,336.0
1173,336.0
1178,336.0
1379,336.0
1451,336.0
1521,336.0
1605,336.0
1642,336.0
1648,336.0
1652,336.0
1711,336.0
1743,336.0
1814,336.0
1840,336.0
1966,336.0
26,254.0
29,254.0
41,254.0
68,254.0
82,254.0
111,254.0
138,254.0
141,254.0
166,254.0
183,254.0
258,254.0
264,254.0
267,254.0
282,254.0
317,254.0
351,254.0
358,254.0
405,254.0
427,254.0
435,254.0
446,254.0
448,254.0
451,254.0
476,254.0
482,254.0
499,254.0
510,254.0
514,254.0
535,254.0
566,254.0
577,254.0
597,254.0
615,254.0
623,254.0
630,254.0
637,254.0
659,254.0
665,254.0
677,254.0
685,254.0
